,,,,,,Totals,Totals,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting
Rk,Player,Age,Tm,Lg,Season,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
44,Skal Labissiere\labissk01,20,SAC,NBA,2016-17,33,12,18.5,3.5,6.6,3.5,6.4,0.1,0.2,1.6,2.2,1.5,3.4,4.9,0.8,0.5,0.4,1.1,1.9,8.8,0.537,0.543,0.375,0.544,0.703,0.577
45,Nicolas Laprovittola\laproni01,27,SAS,NBA,2016-17,18,3,9.7,1.1,2.6,0.6,1.1,0.6,1.5,0.5,0.5,0.1,0.5,0.6,1.6,0.2,0.1,1.1,1.1,3.3,0.426,0.5,0.37,0.532,1,0.579
46,Jake Layman\laymaja01,22,POR,NBA,2016-17,35,1,7.1,0.7,2.5,0.4,1.1,0.4,1.5,0.4,0.5,0.2,0.5,0.7,0.3,0.3,0.1,0.3,0.6,2.2,0.292,0.342,0.255,0.365,0.765,0.404
47,Caris LeVert\leverca01,22,BRK,NBA,2016-17,57,26,21.7,3,6.7,2,3.4,1,3.2,1.2,1.6,0.4,2.9,3.3,1.9,0.9,0.1,1,1.6,8.2,0.45,0.571,0.321,0.528,0.72,0.556
48,Shawn Long\longsh01,24,PHI,NBA,2016-17,18,0,13,3.4,6.1,3,5,0.4,1.1,1.1,1.9,2.3,2.4,4.7,0.7,0.5,0.5,0.7,2.7,8.2,0.56,0.6,0.368,0.592,0.543,0.595
49,Timothe Luwawu-Cabarrot\luwawti01,21,PHI,NBA,2016-17,69,19,17.2,2.1,5.2,1.4,2.9,0.7,2.3,1.5,1.8,0.4,1.8,2.2,1.1,0.5,0.1,1.1,2.2,6.4,0.402,0.475,0.311,0.471,0.854,0.536
50,Sheldon Mac\mcclesh01,24,WAS,NBA,2016-17,30,3,9.6,1,2.5,0.8,1.5,0.2,1,0.8,0.9,0.1,1,1.1,0.5,0.3,0.1,0.2,0.6,3,0.4,0.511,0.233,0.447,0.852,0.518
51,Thon Maker\makerth01,19,MIL,NBA,2016-17,57,34,9.9,1.5,3.2,1,1.9,0.5,1.3,0.6,0.9,0.7,1.3,2,0.4,0.2,0.5,0.3,1.5,4,0.459,0.514,0.378,0.536,0.653,0.558
52,Patrick McCaw\mccawpa01,21,GSW,NBA,2016-17,71,20,15.1,1.5,3.5,0.9,1.7,0.6,1.7,0.4,0.5,0.3,1.1,1.4,1.1,0.5,0.2,0.5,0.9,4,0.433,0.533,0.333,0.516,0.784,0.54
53,Rodney McGruder\mcgruro01,25,MIA,NBA,2016-17,78,65,25.2,2.4,5.9,1.5,3.1,0.9,2.8,0.6,0.9,1.2,2.1,3.3,1.6,0.6,0.2,0.7,1.8,6.4,0.413,0.488,0.332,0.492,0.62,0.506
54,Dejounte Murray\murrade01,20,SAS,NBA,2016-17,38,8,8.5,1.3,3.1,1.1,2.4,0.2,0.6,0.6,0.8,0.2,0.9,1.1,1.3,0.2,0.2,1,0.8,3.4,0.431,0.441,0.391,0.47,0.7,0.503
55,Jamal Murray\murraja01,19,DEN,NBA,2016-17,82,10,21.5,3.6,8.9,2.2,4.7,1.4,4.2,1.3,1.5,0.5,2.1,2.6,2.1,0.6,0.3,1.4,1.5,9.9,0.404,0.466,0.334,0.483,0.883,0.518
56,Maurice Ndour\ndourma01,24,NYK,NBA,2016-17,32,4,10.3,1.2,2.7,1.2,2.5,0,0.2,0.6,0.8,0.7,1.3,2,0.3,0.5,0.3,0.4,0.9,3.1,0.453,0.481,0.143,0.459,0.731,0.503
57,Georges Niang\niangge01,23,IND,NBA,2016-17,23,0,4,0.4,1.6,0.3,1,0,0.5,0.1,0.1,0.1,0.7,0.7,0.2,0.1,0,0.2,0.3,0.9,0.25,0.333,0.083,0.264,1,0.285
58,David Nwaba\nwabada01,24,LAL,NBA,2016-17,20,2,19.9,2.4,4.1,2.3,3.8,0.1,0.3,1.3,2,0.9,2.3,3.2,0.7,0.7,0.4,0.6,1.8,6,0.58,0.605,0.2,0.586,0.641,0.611
59,Daniel Ochefu\ochefda01,23,WAS,NBA,2016-17,19,0,3.9,0.6,1.4,0.6,1.4,0,0,0,0.1,0.3,0.9,1.2,0.2,0.1,0,0.2,0.9,1.3,0.444,0.444,,0.444,0,0.43
60,Chinanu Onuaku\onuakch01,20,HOU,NBA,2016-17,5,1,10.4,1,1.4,1,1.4,0,0,0.8,0.8,0.4,1.6,2,0.6,0.6,0.2,0.8,1.2,2.8,0.714,0.714,,0.714,1,0.799
61,Georgios Papagiannis\papagge01,19,SAC,NBA,2016-17,22,0,16.1,2.5,4.6,2.5,4.5,0,0.1,0.5,0.6,1.1,2.8,3.9,0.9,0.1,0.8,1.1,2,5.6,0.549,0.56,0,0.549,0.857,0.573
62,Gary Payton\paytoga02,24,MIL,NBA,2016-17,6,0,16.5,1.3,3.7,1.2,2.2,0.2,1.5,0.5,0.8,0,2,2,2.2,0.5,0.7,1.7,1.5,3.3,0.364,0.538,0.111,0.386,0.6,0.413
63,Marshall Plumlee\plumlma02,24,NYK,NBA,2016-17,21,1,8.1,0.8,1.4,0.8,1.4,0,0,0.4,0.9,1.1,1.3,2.4,0.5,0.2,0.2,0.6,1.1,1.9,0.533,0.533,,0.533,0.421,0.521
64,Jakob Poeltl\poeltja01,21,TOR,NBA,2016-17,54,4,11.6,1.2,2.1,1.2,2.1,0,0,0.6,1.1,1.4,1.6,3.1,0.2,0.3,0.4,0.5,2.1,3.1,0.583,0.583,,0.583,0.544,0.589
65,Alex Poythress\poythal01,23,PHI,NBA,2016-17,6,1,26.2,4.2,9,3.2,5.8,1,3.2,1.3,1.7,1.8,3,4.8,0.8,0.5,0.3,0.5,2.3,10.7,0.463,0.543,0.316,0.519,0.8,0.548
66,Tim Quarterman\quartti01,22,POR,NBA,2016-17,16,0,5,0.8,1.8,0.5,1,0.3,0.8,0,0.2,0.3,0.6,0.9,0.7,0.1,0.2,0.7,0.4,1.9,0.448,0.5,0.385,0.534,0,0.511
67,Chasson Randle\randlch01,23,TOT,NBA,2016-17,26,0,11.5,1.5,3.8,0.9,2,0.6,1.8,1.6,1.7,0.2,1,1.2,1.3,0.3,0.1,0.7,1.5,5.3,0.408,0.471,0.34,0.49,0.953,0.586
68,Malachi Richardson\richama01,21,SAC,NBA,2016-17,22,0,9,1.3,3.1,0.9,1.8,0.4,1.3,0.7,0.9,0.1,0.9,1,0.5,0.2,0,0.4,1,3.6,0.412,0.5,0.286,0.471,0.789,0.517
69,Domantas Sabonis\sabondo01,20,OKC,NBA,2016-17,81,66,20.1,2.4,5.9,1.7,4,0.6,2,0.5,0.8,0.6,3,3.6,1,0.5,0.4,1,2.5,5.9,0.399,0.438,0.321,0.452,0.657,0.469
70,Dario Saric\saricda01,22,PHI,NBA,2016-17,81,36,26.3,4.7,11.4,3.4,7.2,1.3,4.2,2.1,2.7,1.4,5,6.3,2.2,0.7,0.4,2.3,2,12.8,0.411,0.469,0.311,0.468,0.782,0.508
71,Tomas Satoransky\satorto01,25,WAS,NBA,2016-17,57,3,12.6,1.1,2.6,0.9,1.9,0.2,0.6,0.4,0.6,0.4,1,1.5,1.6,0.5,0.1,0.7,1.1,2.7,0.415,0.473,0.243,0.446,0.697,0.477
72,Wayne Selden\seldewa01,22,TOT,NBA,2016-17,14,5,16.9,1.8,4.1,1.3,2.1,0.5,2,1,1.6,0.1,1.1,1.1,0.9,0.4,0.1,0.9,1.3,5.1,0.431,0.6,0.25,0.491,0.636,0.525
73,Pascal Siakam\siakapa01,22,TOR,NBA,2016-17,55,38,15.6,1.9,3.7,1.9,3.6,0,0.1,0.4,0.6,1.2,2.2,3.4,0.3,0.5,0.8,0.6,2,4.2,0.502,0.515,0.143,0.505,0.688,0.523
74,Diamond Stone\stonedi01,19,LAC,NBA,2016-17,7,0,3.4,0.4,1.9,0.4,1.9,0,0,0.6,0.6,0.1,0.7,0.9,0,0,0.1,0.3,0.7,1.4,0.231,0.231,,0.231,1,0.339
75,Isaiah Taylor\taylois01,22,HOU,NBA,2016-17,4,0,13,0.3,1.8,0.3,1.3,0,0.5,0.3,0.5,0.3,0.5,0.8,0.8,0.3,0.3,0,1.5,0.8,0.143,0.2,0,0.143,0.5,0.19
76,Mike Tobey\tobeymi01,22,CHO,NBA,2016-17,2,0,12.5,0.5,2,0.5,2,0,0,0,0,1,0.5,1.5,0.5,0,0,0.5,1,1,0.25,0.25,,0.25,,0.25
77,Tyler Ulis\ulisty01,21,PHO,NBA,2016-17,61,15,18.4,3,7.2,2.7,5.9,0.3,1.3,0.9,1.2,0.3,1.2,1.6,3.7,0.8,0.1,1.3,1.2,7.3,0.421,0.455,0.266,0.445,0.775,0.474
78,Jarrod Uthoff\uthofja01,23,DAL,NBA,2016-17,9,0,12.8,1.8,4.2,1.4,3.2,0.3,1,0.6,0.8,0.9,1.6,2.4,1,0.2,0.4,0.3,0.9,4.4,0.421,0.448,0.333,0.461,0.714,0.487
79,Denzel Valentine\valende01,23,CHI,NBA,2016-17,57,0,17.1,1.8,5.1,0.5,1.4,1.3,3.6,0.2,0.3,0.2,2.5,2.6,1.1,0.5,0.1,0.9,1.5,5.1,0.354,0.363,0.351,0.481,0.778,0.492
80,Fred VanVleet\vanvlfr01,22,TOR,NBA,2016-17,37,0,7.9,1.1,3,0.8,2.2,0.3,0.8,0.5,0.6,0.1,1,1.1,0.9,0.4,0.1,0.4,1,2.9,0.351,0.341,0.379,0.401,0.818,0.443
81,Taurean Waller-Prince\princta02,22,ATL,NBA,2016-17,59,10,16.6,1.9,4.8,1.4,3.1,0.6,1.7,1.3,1.6,0.4,2.2,2.7,0.9,0.7,0.5,1,1.6,5.7,0.4,0.443,0.324,0.458,0.787,0.513
82,Okaro White\whiteok01,24,MIA,NBA,2016-17,35,0,13.5,0.9,2.5,0.6,1.5,0.3,1,0.6,0.6,0.7,1.6,2.3,0.6,0.3,0.3,0.5,1.5,2.8,0.379,0.396,0.353,0.448,0.909,0.507
83,Isaiah Whitehead\whiteis01,21,BRK,NBA,2016-17,73,26,22.5,2.8,7,2.2,4.9,0.6,2,1.2,1.5,0.4,2.1,2.5,2.6,0.6,0.5,1.9,2.4,7.4,0.402,0.446,0.295,0.445,0.805,0.487
84,Troy Williams\willitr02,22,TOT,NBA,2016-17,30,16,18.6,2.4,5.6,1.8,3.5,0.6,2.1,0.7,1.1,0.5,1.8,2.3,0.8,0.9,0.3,1.1,2,6.2,0.437,0.524,0.29,0.491,0.656,0.511
85,Kyle Wiltjer\wiltjky01,24,HOU,NBA,2016-17,14,0,3.1,0.3,1,0,0.1,0.3,0.9,0.1,0.1,0.3,0.4,0.7,0.1,0.2,0.1,0.4,0.3,0.9,0.286,0,0.308,0.429,0.5,0.437
86,Stephen Zimmerman\zimmest01,20,ORL,NBA,2016-17,19,0,5.7,0.5,1.6,0.5,1.6,0,0,0.2,0.3,0.6,1.3,1.8,0.2,0.1,0.3,0.2,0.9,1.2,0.323,0.323,,0.323,0.6,0.346
87,Paul Zipser\zipsepa01,22,CHI,NBA,2016-17,44,18,19.2,2,5,1.3,2.8,0.8,2.3,0.7,0.9,0.3,2.5,2.8,0.8,0.3,0.4,0.9,1.8,5.5,0.398,0.451,0.333,0.473,0.775,0.503
